Files already downloaded and verified
Files already downloaded and verified
Epoch [222/300], Train Accuracy: 99.97%, Test Accuracy: 93.66%
Epoch [223/300], Train Accuracy: 99.95%, Test Accuracy: 93.69%
Epoch [224/300], Train Accuracy: 99.96%, Test Accuracy: 93.57%
Epoch [225/300], Train Accuracy: 99.95%, Test Accuracy: 93.69%
Epoch [226/300], Train Accuracy: 99.97%, Test Accuracy: 93.55%
Epoch [227/300], Train Accuracy: 99.96%, Test Accuracy: 93.43%
Epoch [228/300], Train Accuracy: 99.98%, Test Accuracy: 93.68%
Epoch [229/300], Train Accuracy: 99.97%, Test Accuracy: 93.54%
Epoch [230/300], Train Accuracy: 99.96%, Test Accuracy: 93.68%
Epoch [231/300], Train Accuracy: 99.95%, Test Accuracy: 93.73%
Epoch [232/300], Train Accuracy: 99.96%, Test Accuracy: 93.70%
Epoch [233/300], Train Accuracy: 99.98%, Test Accuracy: 93.75%
Epoch [234/300], Train Accuracy: 99.98%, Test Accuracy: 93.67%
Epoch [235/300], Train Accuracy: 99.98%, Test Accuracy: 93.74%
Epoch [236/300], Train Accuracy: 99.97%, Test Accuracy: 93.72%
Epoch [237/300], Train Accuracy: 99.97%, Test Accuracy: 93.58%
Epoch [238/300], Train Accuracy: 99.97%, Test Accuracy: 93.68%
Epoch [239/300], Train Accuracy: 99.99%, Test Accuracy: 93.70%
Epoch [240/300], Train Accuracy: 99.99%, Test Accuracy: 93.66%
Epoch [241/300], Train Accuracy: 99.99%, Test Accuracy: 93.74%
Epoch [242/300], Train Accuracy: 99.97%, Test Accuracy: 93.76%
Epoch [243/300], Train Accuracy: 99.98%, Test Accuracy: 93.75%
Epoch [244/300], Train Accuracy: 99.98%, Test Accuracy: 93.68%
Epoch [245/300], Train Accuracy: 99.97%, Test Accuracy: 93.62%
Epoch [246/300], Train Accuracy: 99.98%, Test Accuracy: 93.73%
Epoch [247/300], Train Accuracy: 99.97%, Test Accuracy: 93.79%
Epoch [248/300], Train Accuracy: 99.97%, Test Accuracy: 93.77%
Epoch [249/300], Train Accuracy: 99.98%, Test Accuracy: 93.73%
Epoch [250/300], Train Accuracy: 99.98%, Test Accuracy: 93.67%
Epoch [251/300], Train Accuracy: 99.98%, Test Accuracy: 93.77%
Epoch [252/300], Train Accuracy: 99.98%, Test Accuracy: 93.81%
Epoch [253/300], Train Accuracy: 99.98%, Test Accuracy: 93.72%
Epoch [254/300], Train Accuracy: 99.99%, Test Accuracy: 93.87%
Epoch [255/300], Train Accuracy: 99.98%, Test Accuracy: 93.80%
Epoch [256/300], Train Accuracy: 99.98%, Test Accuracy: 93.92%
Epoch [257/300], Train Accuracy: 99.99%, Test Accuracy: 93.74%
Epoch [258/300], Train Accuracy: 99.98%, Test Accuracy: 93.82%
Epoch [259/300], Train Accuracy: 99.98%, Test Accuracy: 93.88%
Epoch [260/300], Train Accuracy: 99.98%, Test Accuracy: 93.80%
Epoch [261/300], Train Accuracy: 99.98%, Test Accuracy: 93.86%
Epoch [262/300], Train Accuracy: 99.98%, Test Accuracy: 93.78%
Epoch [263/300], Train Accuracy: 99.98%, Test Accuracy: 93.79%
Epoch [264/300], Train Accuracy: 99.99%, Test Accuracy: 93.79%
Epoch [265/300], Train Accuracy: 99.99%, Test Accuracy: 93.79%
Epoch [266/300], Train Accuracy: 99.99%, Test Accuracy: 93.85%
Epoch [267/300], Train Accuracy: 99.99%, Test Accuracy: 93.74%
Epoch [268/300], Train Accuracy: 99.99%, Test Accuracy: 93.71%
Epoch [269/300], Train Accuracy: 99.99%, Test Accuracy: 93.72%
Epoch [270/300], Train Accuracy: 99.99%, Test Accuracy: 93.75%
Epoch [271/300], Train Accuracy: 99.99%, Test Accuracy: 93.80%
Epoch [272/300], Train Accuracy: 99.99%, Test Accuracy: 93.78%
Epoch [273/300], Train Accuracy: 99.99%, Test Accuracy: 93.72%
Epoch [274/300], Train Accuracy: 99.99%, Test Accuracy: 93.65%
Epoch [275/300], Train Accuracy: 99.99%, Test Accuracy: 93.78%
Epoch [276/300], Train Accuracy: 99.99%, Test Accuracy: 93.75%
Epoch [277/300], Train Accuracy: 99.98%, Test Accuracy: 93.75%
Epoch [278/300], Train Accuracy: 99.98%, Test Accuracy: 93.78%
Epoch [279/300], Train Accuracy: 99.99%, Test Accuracy: 93.78%
Epoch [280/300], Train Accuracy: 99.98%, Test Accuracy: 93.71%
Epoch [281/300], Train Accuracy: 100.00%, Test Accuracy: 93.76%
Epoch [282/300], Train Accuracy: 99.97%, Test Accuracy: 93.83%
Epoch [283/300], Train Accuracy: 99.98%, Test Accuracy: 93.72%
Epoch [284/300], Train Accuracy: 99.98%, Test Accuracy: 93.73%
Epoch [285/300], Train Accuracy: 99.99%, Test Accuracy: 93.77%
Epoch [286/300], Train Accuracy: 99.99%, Test Accuracy: 93.74%
Epoch [287/300], Train Accuracy: 99.99%, Test Accuracy: 93.80%
Epoch [288/300], Train Accuracy: 99.99%, Test Accuracy: 93.82%
Epoch [289/300], Train Accuracy: 99.98%, Test Accuracy: 93.76%
Epoch [290/300], Train Accuracy: 99.99%, Test Accuracy: 93.81%
Epoch [291/300], Train Accuracy: 99.99%, Test Accuracy: 93.73%
Epoch [292/300], Train Accuracy: 99.99%, Test Accuracy: 93.67%
Epoch [293/300], Train Accuracy: 99.99%, Test Accuracy: 93.79%
Epoch [294/300], Train Accuracy: 99.98%, Test Accuracy: 93.81%
Epoch [295/300], Train Accuracy: 99.99%, Test Accuracy: 93.76%
Epoch [296/300], Train Accuracy: 99.99%, Test Accuracy: 93.78%
Epoch [297/300], Train Accuracy: 99.99%, Test Accuracy: 93.80%
Epoch [298/300], Train Accuracy: 99.98%, Test Accuracy: 93.81%
Epoch [299/300], Train Accuracy: 99.99%, Test Accuracy: 93.79%
Epoch [300/300], Train Accuracy: 99.99%, Test Accuracy: 93.66%
Best Train Accuracy: 100.00%
Best Test Accuracy: 93.92%
